sample_size,iteration,cut_points_x1,cut_points_x2,beta_star
300,43,"[-0.9583574758704942, 0.6012844074761512]","[-0.533385587801207, -0.2848049972140775]","[-0.9066165034947175, 2.3023607473075045, -1.395744243812787, -0.5803181502829703, 1.472512261750788, -0.8921941114678178]"
300,44,"[-1.2625159586571602, 0.1202089448576921]","[-0.6142007579518516, 0.35459313447643986]","[-0.24312167699594467, 1.0544473476084755, -0.8113256706125308, -0.5597912497780955, 1.154983742046789, -0.5951924922686935]"
300,45,"[-0.35940526862254857, 0.9030039044065346]","[-0.08909867214581094, 0.9141974063234086]","[-1.2417080300911763, 1.6249257533170096, -0.38321772322583353, -0.6333761374533899, 0.864519514719607, -0.23114337726621695]"
300,46,"[-0.6236674052655126, -0.3303778771002495]","[-0.3220331624640561, 1.236213711775729]","[-0.9005506524091826, 1.2034348760519062, -0.3028842236427236, -0.24023920019909237, 0.4356333367233809, -0.19539413652428858]"
300,47,"[-0.09758309364023275, 1.2894131768198545]","[-0.18108056814115264, 0.5436873336875347]","[-0.9887763040568306, 1.2388113387559738, -0.25003503469914323, -0.363072391725928, 1.4776607006561786, -1.1145883089302506]"
300,48,"[-1.233256132334444, -0.7011181433512793]","[-0.7930050391629169, -0.35272297692065346]","[-1.4160619766829492, 1.6837061456898712, -0.2676441690069221, 0.014519085775289098, 0.8195788683697554, -0.8340979541450444]"
300,49,"[-0.10487223699263987, 0.695642085776449]","[-0.07378193031242286, 0.9421508579911431]","[-0.08450249971189941, 1.4707142085653437, -1.3862117088534445, -0.7290695680095647, 1.6060570000737922, -0.8769874320642274]"
300,50,"[-0.2990642707652451, -0.11390447907575645]","[-0.16182555450944275, 0.8501418365073683]","[-0.33569029945473833, 1.326075263937273, -0.9903849644825347, -0.8113464830688669, 1.2874520557863494, -0.47610557271748244]"
300,51,"[-0.06541518030705573, 0.5702940336069249]","[0.27769613011764016, 0.6035074967474718]","[-0.6168749865619533, 1.311057520297505, -0.6941825337355517, -1.3073680323078478, 2.720891839846785, -1.4135238075389371]"
300,52,"[-0.03275454139860151, 0.6028648648611838]","[-1.1641294767138264, 1.2971404905171966]","[-0.9333530924353508, 0.839249506951718, 0.09410358548363273, -1.124449007109202, 1.2871967614895352, -0.16274775438033318]"
300,53,"[-0.8077173419108242, 0.13743595460379493]","[-0.4062440684102967, -0.14894044560117775]","[-0.980898763016926, 1.6477483799223909, -0.6668496169054648, -0.7603210236707235, 1.3131576709033075, -0.552836647232584]"
300,54,"[-0.5079904275465944, -0.07552617842254919]","[-0.8018419643543713, 1.2315010061012515]","[-0.4729097960037273, 1.6277590898051901, -1.1548492938014632, -0.8935643941410555, 1.032896274980235, -0.13933188083917947]"
300,55,"[-0.8151089900685577, -0.1604045547857191]","[-0.6463339753551587, 0.4128539326486951]","[-0.45500896263355384, 1.2656295478558672, -0.8106205852223133, -0.4107927349363465, 1.569349984910898, -1.1585572499745516]"
300,56,"[-0.7617481611132257, 0.1039428792305431]","[-0.2769947074017987, -0.11912997144657345]","[-1.0405917898035828, 1.2299960354167412, -0.18940424561315833, -0.6003705297760693, 1.275192401042735, -0.6748218712666656]"
300,57,"[0.9347691884636391, 1.367020201074881]","[-0.9213846770081058, -0.5992145357931653]","[-1.2574106921559705, 1.8099224322434901, -0.5525117400875197, -0.5421460718774711, 1.1433294548716746, -0.6011833829942037]"
300,58,"[-1.2794340594920535, 0.6063587638678387]","[-0.029420090534388273, 0.971683968390015]","[-0.8005222190907862, 1.9878225593452152, -1.1873003402544289, -0.5186192889931779, 1.161938251234766, -0.6433189622415881]"
300,59,"[-0.6672319929651678, 0.08944780884665543]","[0.05706541036242113, 0.32841451384218384]","[-0.683023242048824, 1.729939154974881, -1.046915912926057, -0.7366550627042814, 1.533670700056252, -0.7970156373519703]"
300,60,"[-0.36304164408560274, 1.1872284391112697]","[0.15523565867550682, 0.29532841670630755]","[-1.0171268274202512, 1.8153400782278435, -0.7982132508075925, -0.4287746591755932, 1.591662107999956, -1.1628874488243626]"
300,61,"[-0.8458688053029285, 1.1887682984871855]","[-0.4074803304594191, 0.48281571818623154]","[-1.146374219579827, 1.3162485813734102, -0.16987436179358306, -0.5242831467305462, 0.9580921332204486, -0.43380898648990246]"
300,62,"[0.40899963936816974, 1.2667936023491784]","[0.5491797050805887, 1.169399312840482]","[-1.1197389521948384, 2.1967212631163524, -1.076982310921514, -0.5743395153430001, 1.3023600085440747, -0.7280204932010746]"
300,63,"[-1.1188393189774573, 0.8837106284697845]","[-1.1959489375604353, 1.19489748676882]","[0.14223695872177183, 0.8127845254312673, -0.9550214841530391, -0.5275021074295159, 0.6031752813968403, -0.07567317396732443]"
300,64,"[-0.22646967629759368, 0.02903861557071867]","[-0.08300282305506684, 0.1632853990121374]","[-0.7447723898529661, 1.0057659340565488, -0.2609935442035827, -0.4372608179716115, 1.165329795472891, -0.7280689775012792]"
300,65,"[-0.5341292211580833, -0.24352199785168033]","[1.0038998014775486, 1.439013910585531]","[-0.24473094106577511, 1.2262490754692053, -0.98151813440343, -0.7717860192137654, 1.175860333657502, -0.4040743144437365]"
300,66,"[0.12731087885165537, 1.00273364373651]","[-0.3294094583367341, 0.7065246845645177]","[-1.2570961490711567, 1.146029964789691, 0.11106618428146575, -0.20565821828927217, 1.1036772503496652, -0.8980190320603929]"
300,67,"[-0.47870043247753663, 0.1442067452155532]","[-1.0241759798660985, 0.6785809948193149]","[-0.5423924161969638, 1.2020212454114734, -0.6596288292145096, -0.38867966732378, 1.5958976230434136, -1.2072179557196336]"
300,68,"[-1.23943426591351, 0.3220192358346327]","[0.5192273121358775, 1.2894577862699266]","[-0.8010244813802161, 1.458714411291955, -0.6576899299117389, -0.6311798056704888, 2.12328575353823, -1.4921059478677416]"
300,69,"[-0.8797852243889125, -0.14907639756208818]","[-1.247104046335577, -0.800217430610138]","[-0.8201771967586926, 1.1633606600650057, -0.34318346330631316, -0.8776094372171497, 1.335061386507722, -0.45745194929057237]"
300,70,"[0.6746019866134869, 1.0172939813979485]","[0.31816455455005227, 1.3302837999058155]","[-1.0890188652782786, 1.2605687731956152, -0.17154990791733682, 0.10813561815373102, 1.169272869090288, -1.277408487244019]"
300,71,"[-0.7279263229137343, -0.448458792948718]","[-1.0290678361281969, 0.47496944373824124]","[-0.3283297238031894, 1.5505133512206148, -1.2221836274174251, -0.593095651247373, 1.6708864294531165, -1.0777907782057436]"
300,72,"[-0.5129045070458008, 0.166460097882901]","[0.3399874847233575, 1.2163962388922864]","[-1.271435859460352, 1.4544621029836202, -0.18302624352326796, -0.7112317055373426, 1.2977255574173652, -0.586493851880023]"
300,73,"[-1.1234176711237938, -0.24353147046496693]","[0.23906632738361916, 0.9525144928472014]","[-0.3103452547661724, 1.5776362201202945, -1.2672909653541222, -0.4242438982939656, 1.556276847988221, -1.1320329496942554]"
300,74,"[-0.2648389160914703, 0.22130902854533446]","[-0.32895387973027046, -0.09487179174604232]","[-0.9680047145620246, 1.6135715367226942, -0.6455668221606695, -0.7358064813354062, 1.1514930338276144, -0.41568655249220837]"
300,75,"[-0.2931218537635852, 1.324285159938228]","[-0.39690268672488893, 0.5483427677075713]","[-0.5468425978986234, 0.9984276113811006, -0.45158501348247704, -0.3413312687560759, 0.9322017620680382, -0.5908704933119622]"
300,76,"[0.6187907401896602, 1.1900271176556703]","[-1.2161214049559592, 0.649597601546953]","[0.15428377283777728, 1.201185726965414, -1.3554694998031913, -0.6615358077538276, 1.3240761571533093, -0.6625403493994819]"
300,77,"[-0.6447791521830942, -0.058033660712967006]","[0.8481811455566487, 1.2346676099951917]","[-0.8154315548647951, 2.038671936229969, -1.223240381365174, -0.8921138734009862, 1.5514020286341847, -0.6592881552331985]"
300,78,"[0.1646731714836402, 0.4032405240577249]","[-0.3694424716695386, 0.5311022811517432]","[-0.5688919048585888, 1.3667287187951012, -0.7978368139365124, -0.9458294422164446, 1.4507581119638984, -0.5049286697474538]"
300,79,"[-1.2649927110042998, 0.4214201755099809]","[-0.7068083020216094, 0.03508062564353598]","[-0.6521416662891275, 1.0139947055503205, -0.36185303926119294, -1.2437141673353551, 1.4014473324537273, -0.15773316511837226]"
300,80,"[-1.3207078692537504, 1.159998930750445]","[-0.7818518677541542, 0.6337672165260478]","[-1.1710575119429087, 1.3073307915410761, -0.1362732795981672, -0.39892986861078034, 1.1227042358719417, -0.7237743672611614]"
300,81,"[0.13323977684017763, 0.3518896254770377]","[-0.2799145545600543, 1.2229273571029737]","[-0.5847338464216263, 1.4895698465528568, -0.9048360001312306, -0.9649606183520363, 1.1192042820707346, -0.15424366371869835]"
300,82,"[-0.29449752857013034, 0.1825823906685475]","[-0.8796061301551918, -0.39664509448769436]","[-0.6052845075199389, 0.7504132328254733, -0.14512872530553445, -0.8976208987968712, 1.7057701661202933, -0.8081492673234218]"
300,83,"[-0.4557809541784299, 0.38645695794774304]","[-0.5479588521206267, -0.07537720572903907]","[-0.03457120234947819, 0.9724633211536158, -0.9378921188041376, -1.033004487847455, 1.622890115836864, -0.5898856279894095]"
300,84,"[-1.3676634295184358, 0.5134362904474447]","[-1.1554348717150948, 0.8498897272231212]","[-0.8872688773918768, 1.0104351219803012, -0.1231662445884244, -0.4796971209395207, 0.9916522560367219, -0.5119551350972013]"
300,85,"[0.2260068807196691, 1.3641725643436682]","[0.07304025772383693, 0.34806729866168273]","[-0.21718026791214515, 1.1798139034873787, -0.9626336355752336, -0.20042408849203242, 0.8380193809512284, -0.637595292459196]"
300,86,"[-0.579854728530981, -0.08120996885989562]","[-0.769313861918845, -0.10821514152790068]","[-0.6580612083937092, 1.3134120348509493, -0.6553508264572401, -0.9227167882316173, 1.4356800093201012, -0.5129632210884838]"
300,87,"[-0.3922099246804721, 0.7699296341353059]","[0.070300567655534, 0.8024290388985522]","[-1.2577929478819228, 2.157924377741601, -0.9001314298596783, -0.6128749678836545, 2.319415489774798, -1.7065405218911434]"
300,88,"[-0.967425061473389, 0.546057158472691]","[-1.2021251609687107, -0.8325215624468871]","[-0.4751155015131193, 1.243389326653606, -0.7682738251404867, -1.1080604602128157, 2.2432831938656594, -1.1352227336528435]"
300,89,"[0.060808908598339984, 0.23110422443048895]","[-0.7582016387082477, 0.7695001363822496]","[-1.0369319867868185, 0.93777942748225, 0.09915255930456873, -0.19296694651220192, 0.7798671780489702, -0.5869002315367683]"
300,90,"[-0.32400014886419665, 1.238082901452361]","[-0.8287546930661698, 0.6361437624606362]","[-1.0909632230475594, 1.2631917008571167, -0.1722284778095573, -0.10689934787513378, 1.2311077598403797, -1.1242084119652458]"
300,91,"[-0.9422535689302152, -0.08535921184222955]","[-1.1687623215464544, 0.1444838337510994]","[-0.7222221265800561, 0.9449500486313405, -0.22272792205128417, -0.8892112794320963, 1.030506142372114, -0.14129486294001758]"
300,92,"[0.13895027393088083, 0.5510856088000625]","[-1.2747353313123015, -0.596451568859538]","[-0.7113919643040958, 1.2298151483672075, -0.5184231840631119, -1.330098051982659, 1.504311462617387, -0.17421341063472803]"
300,93,"[-0.07285562458918599, 1.0074051210768606]","[0.1373563146300098, 0.8280761158991138]","[-0.18663282730737107, 1.0982044383414697, -0.9115716110340988, -0.04161815970926752, 1.2010073113655566, -1.159389151656289]"
300,94,"[0.06945724418885368, 0.3060789887026759]","[-0.07658546065301021, 0.12032769248614714]","[-0.7500697376572889, 1.5327995090111652, -0.7827297713538763, -0.8308275935779111, 1.7053646076964608, -0.8745370141185497]"
300,95,"[-0.7301329633529117, 0.23198978100347933]","[-0.8895024913125273, 0.14688258726267506]","[-0.841354794966708, 0.9428101747813251, -0.10145537981461733, -1.0650933905017714, 1.8360144275347066, -0.7709210370329354]"
300,96,"[-1.222662505711372, 0.5381213222979887]","[-0.11938285830506185, 0.34558540404575555]","[-0.47140074401018184, 1.5667027790907284, -1.0953020350805465, -1.2178924544499905, 1.359210449939023, -0.14131799548903246]"
300,97,"[-0.5863117191216645, 0.23072151462282464]","[-1.487701801080397, 0.21420463916450005]","[-0.19902366802560745, 0.7117689993712791, -0.5127453313456718, -0.4217103128763011, 0.2800600427230031, 0.1416502701532981]"
300,98,"[-0.6818349354519087, 0.5417068079455389]","[0.14433958063791646, 0.5627415661202366]","[-0.1894357690210705, 0.9063347315279734, -0.7168989625069028, -0.3407876678262981, 1.5012583924315013, -1.160470724605203]"
300,99,"[-0.5879264872152516, 0.588208372472959]","[0.1328318490834501, 1.3527955538057206]","[0.17161900482934792, 2.0330170930696676, -2.2046360978990154, -0.635356026025158, 1.1254366357967531, -0.4900806097715952]"
300,100,"[0.07872355120076957, 0.29560715457307496]","[-0.09209425541783559, 0.3397987594962988]","[-0.8913082900638153, 1.2117385878179578, -0.32043029775414256, -0.416223358199549, 0.45288525942779906, -0.03666190122825014]"
500,1,"[-0.5945048115265964, -0.06116713949093111]","[-1.2621114261344837, -0.6000601030936477]","[-0.8705201443859593, 1.4554088854793865, -0.5848887410934274, -0.6989791729852433, 1.2188724821818746, -0.5198933091966313]"
500,2,"[0.5340462058785438, 1.2499344952493943]","[-1.2230974696248509, 0.5186572051032976]","[-0.47279162295540744, 0.9090607919795815, -0.436269169024174, -0.5106440411405176, 1.4362081981779382, -0.9255641570374206]"
500,3,"[-0.4340837235750646, 0.0005642453838212297]","[0.6479012964663924, 0.9843708415023436]","[-1.2849794325049315, 1.812270494210166, -0.5272910617052349, -1.126121274112996, 1.4265065340212142, -0.300385259908218]"
500,4,"[-0.8181974097750866, -0.28481610140115354]","[-1.183492531110386, 0.5808936961915124]","[-0.9141660259464359, 1.0825482435527802, -0.16838221760634434, 0.021549811830530098, 0.6915253340738992, -0.7130751459044293]"
500,5,"[0.08075507594813736, 0.861385588098391]","[-1.2742770777134234, 0.845973377776517]","[0.24023304951912466, 0.5873535257484988, -0.8275865752676232, -0.7051529659997129, 1.2577853131021994, -0.5526323471024865]"
500,6,"[-0.038013161476340845, 1.0389866493236564]","[0.3584845701241379, 0.9883314726036422]","[-0.7636720339660069, 1.363364428019013, -0.599692394053006, -0.35578122333714807, 1.492021184456847, -1.136239961119699]"
500,7,"[0.06807289780893733, 0.933224522298632]","[-1.2836195682871, 0.0841596922029535]","[-0.5563800635268545, 1.625085092289451, -1.0687050287625968, -1.2265120314366735, 1.9373720578383429, -0.7108600264016695]"
500,8,"[-0.9054828287660069, 0.5623084292434647]","[0.9306933063792336, 1.2904210225666366]","[-0.21604701415709698, 1.3614356654333486, -1.1453886512762514, -0.324986194973135, 1.4772102935597426, -1.1522240985866075]"
500,9,"[-0.9258858562786945, -0.3117264279782872]","[0.30583922047902057, 0.579455906350379]","[-0.8636173667853583, 1.1026715461310983, -0.2390541793457398, -0.750366939176174, 1.2178920969506701, -0.4675251577744962]"
500,10,"[-0.17550005568551072, 0.5051259462345927]","[-0.42653951300019777, 0.48263761568150254]","[-0.6447793153137724, 1.5581234027415227, -0.9133440874277505, -0.9012952410081646, 1.9229896885709823, -1.0216944475628176]"
500,11,"[-0.41414746221184906, 1.3117618685938757]","[0.8670471204611379, 1.4043934561452585]","[-1.0589563939961764, 1.6630608864654084, -0.604104492469232, -0.46516341062893013, 1.2261037122309661, -0.7609403016020361]"
500,12,"[0.27112861894332335, 1.3630399481680464]","[0.27539556884626604, 0.5659941590423397]","[-0.985353387060214, 1.7440072262690998, -0.7586538392088855, -1.3022992471102965, 1.8961829647540833, -0.5938837176437869]"
500,13,"[0.12272569485674567, 0.30531308301451926]","[-0.5881104203823381, 0.15951909080001586]","[-0.6316793385218658, 1.4632223258473849, -0.8315429873255191, -0.4689560111657781, 1.2071363992878248, -0.7381803881220467]"
500,14,"[-0.30430864435396493, -0.08882912511647859]","[-0.9092730415713521, 0.9617315983909642]","[-1.618264757999857, 1.7209773915431787, -0.10271263354332194, -1.1494555281373176, 1.8253685846762029, -0.6759130565388853]"
500,15,"[-0.011893992883875826, 0.5048669229516098]","[-1.2800735465962265, 0.3314281700936258]","[-0.057742074985222436, 0.776592500545476, -0.7188504255602536, -0.6602281906247738, 1.548800986362855, -0.8885727957380811]"
500,16,"[-1.2272709325881588, 0.035823823565295454]","[-0.8231821292947125, 1.037188839096346]","[-0.7952317903624031, 1.3569424759442879, -0.561710685581885, -0.1916257469181714, 1.1241307557746443, -0.9325050088564728]"
500,17,"[-0.03516314994784342, 0.21617377282779981]","[-0.5683192181826597, -0.3281106839061792]","[-0.24021198173969477, 0.9930562558166292, -0.7528442740769341, -0.573331098973688, 1.4776445754431555, -0.9043134764694676]"
500,18,"[0.2732808659053467, 1.2098097958321925]","[-1.4387794029625418, -0.4213231098171224]","[-0.9636122474529436, 1.394074456406551, -0.43046220895360743, -0.09412050563337988, 0.5190350931260139, -0.42491458749263405]"
500,19,"[-0.61269079699718, 0.5132291986041834]","[-1.3412671755250014, 1.3252147340007152]","[-1.0780042890403903, 1.159103588262759, -0.08109929922236869, -1.4717995928978533, 1.3295524787907242, 0.1422471141071292]"
500,20,"[-0.9708685248778575, 0.6105814719182479]","[-1.289106500564039, -0.16541399923388422]","[-1.246172522544747, 1.8883158223173855, -0.6421432997726385, -0.42828789059506855, 0.42436878837270176, 0.003919102222366799]"
500,21,"[0.5974880415196615, 0.8948629811096855]","[-1.3639156833415411, 1.3073477157758837]","[-1.2299913708282082, 1.7178026721070583, -0.4878113012788501, -1.2760931208404696, 1.4299439317742406, -0.15385081093377118]"
500,22,"[-0.9958143206555836, 0.46527014138885764]","[-0.2673493261232707, 0.2222744358523323]","[0.12370341455523004, 1.6254650399301953, -1.7491684544854254, 0.258226399788128, 1.5379464459473957, -1.7961728457355237]"
500,23,"[0.2619108442438271, 0.7682737290745214]","[0.14892379521305715, 0.44252614834319604]","[-0.4929032241497723, 1.2605502090425031, -0.7676469848927311, -0.982481495974164, 0.7918508267824095, 0.19063066919175461]"
500,24,"[-0.040474502019124184, 1.3155755820907213]","[-0.030802795439771893, 0.6248046921990549]","[-0.47533713667635624, 1.1676426839367569, -0.6923055472604008, -0.8468267418005948, 1.495535811382856, -0.6487090695822613]"
500,25,"[-1.2695737487905112, -0.8202044686277676]","[-0.2586594446229033, 0.12370845530075064]","[-0.7672987819507353, 1.3733473697622083, -0.606048587811473, -0.7940463191541538, 1.52599865762967, -0.7319523384755163]"
500,26,"[-1.3304821825826967, -0.9669719282974458]","[0.3650181434330208, 0.9538951866338715]","[-1.2167284201443487, 1.6868224161584564, -0.47009399601410773, -0.2188352030946699, 0.8984344570920522, -0.6795992539973822]"
